h,m,x
1,闵行第三餐饮学生餐厅,59839
2,闵行第三餐饮外婆桥,20535
3,淮扬快餐,14016
4,顺日北小吃,11644
5,吉祥小厨,9453
6,西北面点,6549
7,江南小吃,6250
8,中式点心,5799
9,川味点心,5298
10,西式快餐,4311
11,上海快餐,4041
12,闵行第三餐饮清真餐厅,2887
13,大众餐厅,2690
14,海派食府,2557
15,梦园面包房2,2068
16,哈乐之家,1859
17,绿园餐厅,1837
18,东餐厅,1511
19,川菜,1511
20,一餐教工餐厅,1473
21,二大楼教工餐厅,1099
22,一餐清真,918
23,二楼快餐厅,759
24,面点,748
25,烤肉,664
26,粥档,618
27,甜魔咖啡,612
28,二楼面馆,557
29,点心,518
30,教工餐厅,393
31,炒面,378
32,烧腊饭,376
33,麻辣烫,312
34,一楼快餐厅,304
35,串串烧,275
36,炖品,271
37,六餐东一楼餐厅,229
38,风味煲仔饭,222
39,新疆餐厅,217
40,笼仔饭,185
41,土豆粉,183
42,闵行校车队,183
43,粉面饭,167
44,西餐厅,161
45,百味林,159
46,高知餐厅,131
47,六餐面馆,95
48,甜点,69
49,中西餐厅,62
50,吉姆丽德,48
51,六期水控,26
52,六餐伊诺咖啡,17
53,网球场,14
54,浓清水果店（哈乐餐厅）,12
