9.11,2,2,1
9.12,852.8,333.1,2.560192134
9.13,103164.51,31193,3.307296829
9.14,91121.44,26002,3.5044012
9.15,82148.7,22401,3.667188965
9.16,86456.9,25020,3.455511591
9.17,91078.78,25160,3.619983307
9.18,82553.31,22202,3.718282587
9.19,70989.74,18567,3.823436204
9.2,47961.74,10911,4.395723582
9.21,60642.4,18335.94114,3.307296829
9.22,79537.74,22696.52801,3.5044012
9.23,83462.3,22089.55737,3.77836
9.24,82120.62,23765.11201,3.455511591
9.25,82694,22453.24717,3.682941686
9.26,73964.05,21106.04516,3.5044012
9.27,56619.43,14556.44139,3.889647784
9.28,80929.11,23420.29765,3.455511591
9.29,79327.96,21913.90216,3.619983307
9.3,65352.96,17576.11437,3.718282587
10.1,26814,8107.527501,3.307296829
10.2,21895.12,6247.891937,3.5044012
10.3,22092.95,6024.491842,3.667188965
10.4,24612.12,7898.861498,3.115907274
10.5,26837.35,7001.531792,3.833068363
10.6,34626.13,9312.398719,3.718282587
10.7,51251.32,15328.09166,3.343620402
