,ben,qita,14pingjun,qitapingjun,bili,7
北区教育超市,20652,13802,5.393575346,0.510561166,10.56401408,7
闵行教育超市,2706,33660,0.706711935,1.245144823,0.567574086,7
教育超市,1325,40087,0.346043353,1.482891281,0.233357197,7
学生活动中心光彪楼,705,2437,0.18412118,0.090149077,2.042407826,7
甜魔咖啡,612,1396,0.159832855,0.051640587,3.095101402,7
图书馆自助复印,193,1377,0.050404805,0.050937743,0.989537477,7
闵行校车队,183,3959,0.047793157,0.146450634,0.326343124,7
学生服务中心,177,867,0.046226169,0.032071912,1.441328741,7
综合体育馆,123,698,0.03212327,0.025820294,1.244109387,7
网球场,14,140,0.003656307,0.005178855,0.70600679,7
南区体育馆,9,55,0.002350483,0.00203455,1.155283839,7
z,b,q,bp,qp,bl,7
咖啡,673,1396,0.17,0.05,3.1,51
超市,27151,87549,6.5,3.2,2,42
活动中心,970,3304,0.23,0.12,1.9,28
体育场馆,160,893,0.04,0.03,1.2,24
闵行校车队,183,3959,0.05,0.17,0.3,17
